id,company,city,tools,position,description,content
0,PT IEKIMTIE MEDIKA WEST,Genteng,SQL,Data & Technology,Kualifikasi : S1 Teknik Industri / Informatika / Sains ( Fresh Graduate ) Mampu menguasai SQL Mampu menguasai Alat Visualisasi Data Jobdesk : Menarik data dari database dan menyajikan secara visual Mengubah dari data menjadi bentuk infomasi untuk membuat managemen mengambil keputusan,"data analyst genteng sql industrial engineering, informatics engineering data & technology kualifikasi : s1 teknik industri / informatika / sains ( fresh graduate ) mampu menguasai sql mampu menguasai alat visualisasi data jobdesk : menarik data dari database dan menyajikan secara visual mengubah dari data menjadi bentuk infomasi untuk membuat managemen mengambil keputusan"
1,PT Susu Life Indonesia,Jakarta Barat,"Power BI, Tableau, Excel",Data & Technology,"Key Responsibilities Build, maintain, and automate dashboards (daily, weekly, monthly reports). Perform sales, inventory (PSI), and financial analysis. Conduct ROI analysis for marketing and trade investments. Forecast demand and support supply chain planning. Support sales team with performance tracking and incentive calculations. Provide competitor and market intelligence to management. Requirements Bachelor’s degree in Finance, Accounting, Economics, or related. Strong financial analysis and modeling skills. Excel / Google Sheets expert (pivot tables, macros, formulas). Knowledge of BI tools (Power BI, Tableau, Zoho, or equivalent) is a plus. Strong attention to detail and structured thinking. 2–3 years experience in financial/data analysis.","data analyst/intelligence jakarta barat power bi, tableau, excel accounting, economics, finance data & technology key responsibilities build, maintain, and automate dashboards (daily, weekly, monthly reports). perform sales, inventory (psi), and financial analysis. conduct roi analysis for marketing and trade investments. forecast demand and support supply chain planning. support sales team with performance tracking and incentive calculations. provide competitor and market intelligence to management. requirements bachelor’s degree in finance, accounting, economics, or related. strong financial analysis and modeling skills. excel / google sheets expert (pivot tables, macros, formulas). knowledge of bi tools (power bi, tableau, zoho, or equivalent) is a plus. strong attention to detail and structured thinking. 2–3 years experience in financial/data analysis."
2,PT Venindo Jaya Abadi,Jakarta Utara,"SPSS, SQL, Python, Power BI, Oracle, Excel",Data & Technology,"Job Desk Data Analyst Berikut merupakan Job Desk Data Analyst : Mengumpulkan Data yang akurat Mengelompokan dan mengidentifikasikan  Data : Membuat rancangan , menyimpan dan mengelola database Mengolah Data – data yang dimiliki Menggunakan alat statistik seperti microsoft excel, program spss, sampai dengan program SQL. Membuat kesimpulan dan laporan yang relevan setelah data dianalisis. Berkomunikasi dengan Internal Customer : Logistik, Sales etc Menyampaikan laporan tersebut menjadi sebuah informasi yang mudah untuk dipahami. Kualifikasi Data Analyst 1. Mengerti Bahasa Pemrograman Bahasa pemrograman seperti SQL (Structured Query Language) , Oracle dan Python merupakan bahasa yang paling sederhana yang wajib dimengerti oleh Data Analyst. 2. Familiar dengan platform Power BI dari Microsoft 3. Mengerti Matematika dan Statistik 4. Mampu menganalisis, menyajikan dan menginterpretasikan data 5. Mampu menggunakan Software 6. Memahami Data Warehousing 7. Akurat & Detail Oriented","data analyst jakarta utara spss, sql, python, power bi, oracle, excel jurusan lainnya data & technology job desk data analyst berikut merupakan job desk data analyst : mengumpulkan data yang akurat mengelompokan dan mengidentifikasikan data : membuat rancangan , menyimpan dan mengelola database mengolah data – data yang dimiliki menggunakan alat statistik seperti microsoft excel, program spss, sampai dengan program sql. membuat kesimpulan dan laporan yang relevan setelah data dianalisis. berkomunikasi dengan internal customer : logistik, sales etc menyampaikan laporan tersebut menjadi sebuah informasi yang mudah untuk dipahami. kualifikasi data analyst 1. mengerti bahasa pemrograman bahasa pemrograman seperti sql (structured query language) , oracle dan python merupakan bahasa yang paling sederhana yang wajib dimengerti oleh data analyst. 2. familiar dengan platform power bi dari microsoft 3. mengerti matematika dan statistik 4. mampu menganalisis, menyajikan dan menginterpretasikan data 5. mampu menggunakan software 6. memahami data warehousing 7. akurat & detail oriented"
3,PT Solusi Transportasi Indonesia,Jakarta Lainnya,"SQL, Tableau, Python, Power BI, Oracle",Data & Technology,"Company Description About Grab and Our Workplace Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility. Job Description Get to Know the Team You will join a dynamic team reporting to the Senior Manager of Finance Data Strategy. We are dedicated to consolidating data from different sources to provide a coherent and unified view for finance stakeholders. We prioritize data consistency, quality, and accessibility, and we thrive on cross-functional collaboration to meet the diverse needs of our business. Get to Know the Role As a Data Analyst, Finance Product & Data Integration at Grab, you will consolidate data from various sources to provide a unified view for finance stakeholders. You will ensure data consistency, quality, and accessibility, while collaborating with Finance, business teams, and the Data Engineering team. Your role includes maintaining databases, ensuring data integrity and security, and conducting regular audits and quality checks. Robust analytical skills, attention to detail, and cross-functional collaboration are essential for this position. This role is based on-site in our Jakarta office. The Critical Tasks You Will Perform You will develop data integration solutions that match business requirements, craft SQL scripts, examine source data structures, detect data quality inconsistencies, and design strategies to handle data integration obstacles. You will work with finance stakeholders, engineers, and product teams to comprehend the associated business processes and transform these understandings into technical scripts. You will design and deploy data integration solutions, select appropriate data integration tools, develop data mapping, set up transformation and load (ETL) processes, and construct data integration workflows. You will analyze requirements, and develop financial operational reports or dashboards, including automating existing reporting procedures. You will provide technical support to resolve data integration issues and troubleshoot data-related problems. You will guide a team of external consultants to execute system-related requests by breaking down business requirements into actionable steps based on how the system is set up. Qualifications What Essential Skills You Will Need Bachelor's Degree in Data Analytics, Business Analytics, Finance, Economics, Statistics, Computer Science or a related field. Minimum 5 years experiences at minimum in finance operations/data analytics/business intelligence area. Must be fluent in SQL language, comfortable diving in messy and scattered data. Exposure in financial reporting, Oracle ERP and data reconciliation. Exposure in ETL tool, tableau, python is added advantage. Familiar with the user interface and navigation of Power BI dashboards. Additional Information Life at Grab We care about your well-being at Grab, here are some of the global benefits we offer: We have your back with Term Life Insurance and comprehensive Medical Insurance. With GrabFlex, create a benefits package that suits your needs and aspirations. Celebrate moments that matter in life with loved ones through Parental and Birthday leave , and give back to your communities through Love-all-Serve-all (LASA) volunteering leave We have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges. Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours What We Stand For At Grab We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.","data analyst associate jakarta lainnya sql, tableau, python, power bi, oracle business analytics, computer science, data analytics, economics, finance, statistics data & technology company description about grab and our workplace grab is southeast asia's leading superapp. from getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. in grab, purpose gives us joy and habits build excellence, while harnessing the power of technology and ai to deliver the mission of driving southeast asia forward by economically empowering everyone, with heart, hunger, honour, and humility. job description get to know the team you will join a dynamic team reporting to the senior manager of finance data strategy. we are dedicated to consolidating data from different sources to provide a coherent and unified view for finance stakeholders. we prioritize data consistency, quality, and accessibility, and we thrive on cross-functional collaboration to meet the diverse needs of our business. get to know the role as a data analyst, finance product & data integration at grab, you will consolidate data from various sources to provide a unified view for finance stakeholders. you will ensure data consistency, quality, and accessibility, while collaborating with finance, business teams, and the data engineering team. your role includes maintaining databases, ensuring data integrity and security, and conducting regular audits and quality checks. robust analytical skills, attention to detail, and cross-functional collaboration are essential for this position. this role is based on-site in our jakarta office. the critical tasks you will perform you will develop data integration solutions that match business requirements, craft sql scripts, examine source data structures, detect data quality inconsistencies, and design strategies to handle data integration obstacles. you will work with finance stakeholders, engineers, and product teams to comprehend the associated business processes and transform these understandings into technical scripts. you will design and deploy data integration solutions, select appropriate data integration tools, develop data mapping, set up transformation and load (etl) processes, and construct data integration workflows. you will analyze requirements, and develop financial operational reports or dashboards, including automating existing reporting procedures. you will provide technical support to resolve data integration issues and troubleshoot data-related problems. you will guide a team of external consultants to execute system-related requests by breaking down business requirements into actionable steps based on how the system is set up. qualifications what essential skills you will need bachelor's degree in data analytics, business analytics, finance, economics, statistics, computer science or a related field. minimum 5 years experiences at minimum in finance operations/data analytics/business intelligence area. must be fluent in sql language, comfortable diving in messy and scattered data. exposure in financial reporting, oracle erp and data reconciliation. exposure in etl tool, tableau, python is added advantage. familiar with the user interface and navigation of power bi dashboards. additional information life at grab we care about your well-being at grab, here are some of the global benefits we offer: we have your back with term life insurance and comprehensive medical insurance. with grabflex, create a benefits package that suits your needs and aspirations. celebrate moments that matter in life with loved ones through parental and birthday leave , and give back to your communities through love-all-serve-all (lasa) volunteering leave we have a confidential grabber assistance programme to guide and uplift you and your loved ones through life's challenges. balancing personal commitments and life's demands are made easier with our flexwork arrangements such as differentiated hours what we stand for at grab we are committed to building an inclusive and equitable workplace that provides equal opportunity for grabbers to grow and perform at their best. we consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique."
4,PT Global Jet Express (Cabang Jakarta),Jakarta Utara,Excel,Data & Technology,"Responsibilities: Supporting Accounting Division in preparing the data for franchise agents commission; Collect all franchise agents commission deductions (Claim, Punishment, DFOD, Penalty, and Others); Identify and analyze the business strategy, opportunity and risk; and Prepare, manage and check administration and documentation. Qualifications : Bachelor’s degree (any discipline), with preference in Finance, Accounting, Economics, or related majors. Minimum 3 Years working experience in the related position; Experienced in processing large-scale data using Excel (preferably those who understand Excel macros) Strong communication skills to effectively build and maintain relationships with franchise agents Having good analytical skill, logic thinking, honest, high integrity and self-motivated person. Willing to be placed at Pluit,North Jakarta. Able to join immediately","data analyst officer for finance divison jakarta utara excel jurusan lainnya data & technology responsibilities: supporting accounting division in preparing the data for franchise agents commission; collect all franchise agents commission deductions (claim, punishment, dfod, penalty, and others); identify and analyze the business strategy, opportunity and risk; and prepare, manage and check administration and documentation. qualifications : bachelor’s degree (any discipline), with preference in finance, accounting, economics, or related majors. minimum 3 years working experience in the related position; experienced in processing large-scale data using excel (preferably those who understand excel macros) strong communication skills to effectively build and maintain relationships with franchise agents having good analytical skill, logic thinking, honest, high integrity and self-motivated person. willing to be placed at pluit,north jakarta. able to join immediately"
5,PT Citarasa Kuliner Indonesia (Cimol Bojot AA),Bandung,"SQL, Tableau, Metabase, Google Data Studio, Python, Power BI, Excel",Data & Technology,"Cimol Bojot AA (PT Citarasa Kuliner Indonesia) is building a data team to support our digital transformation across business functions. We’re looking for an entry-level Data Analyst (fresh graduates or candidates with 1–2 years of experience) who is excited to work cross-functionally with manufacturing, warehouse, supply-chain, marketing, sales, and finance & accounting teams. You’ll help turn raw data into actionable insights and dashboards that inform daily operations and strategic decisions. Under the guidance of the Data Manager, you’ll contribute to data collection, cleaning, analysis, and reporting to support various departments. Qualification : Fresh graduates or candidates with 1–2 years of experience in data/analytics Proficient in SQL (required) Basic knowledge of Python (for analysis or automation tasks) Comfortable with spreadsheet-based reporting and Excel Familiar with BI tools like Metabase, Tableau, Power BI, or Google Data Studio Strong interest in data collection, transformation, and automation Good communication skills and willingness to work across teams A growth mindset and eagerness to learn new tools or methods Job Description : Collaborate with different teams (manufacture, warehouse, sales, finance, etc.) to understand data and reporting needs Write and optimize SQL queries to extract and validate data Build interactive dashboards using tools like Metabase, Tableau, Power BI, or Google Data Studio Clean, structure, and prepare data for analysis Support simple ETL tasks to consolidate data from different sources Present insights clearly to non-technical users through reports or dashboards Document your work and share learnings with the team Benefit : Gaji Pokok + Tunjangan BPJS Full","data analyst bandung sql, tableau, metabase, google data studio, python, power bi, excel jurusan lainnya data & technology cimol bojot aa (pt citarasa kuliner indonesia) is building a data team to support our digital transformation across business functions. we’re looking for an entry-level data analyst (fresh graduates or candidates with 1–2 years of experience) who is excited to work cross-functionally with manufacturing, warehouse, supply-chain, marketing, sales, and finance & accounting teams. you’ll help turn raw data into actionable insights and dashboards that inform daily operations and strategic decisions. under the guidance of the data manager, you’ll contribute to data collection, cleaning, analysis, and reporting to support various departments. qualification : fresh graduates or candidates with 1–2 years of experience in data/analytics proficient in sql (required) basic knowledge of python (for analysis or automation tasks) comfortable with spreadsheet-based reporting and excel familiar with bi tools like metabase, tableau, power bi, or google data studio strong interest in data collection, transformation, and automation good communication skills and willingness to work across teams a growth mindset and eagerness to learn new tools or methods job description : collaborate with different teams (manufacture, warehouse, sales, finance, etc.) to understand data and reporting needs write and optimize sql queries to extract and validate data build interactive dashboards using tools like metabase, tableau, power bi, or google data studio clean, structure, and prepare data for analysis support simple etl tasks to consolidate data from different sources present insights clearly to non-technical users through reports or dashboards document your work and share learnings with the team benefit : gaji pokok + tunjangan bpjs full"
6,PT Chateraise Gobel Indonesia,Jakarta Lainnya,"SQL, Excel, Python",Data & Technology,"Job Description : Collect, organize and analyst data from various sources to identify trends, patterns, and insights Develop and maintain data models, dashboards, and reports to present findings in a clear and concise manner Collaborate with cross-functional teams to understand business requirements and translate them into data-driven solutions Continuously evaluate and improve data processing and analysis methods to enhance efficiency and accuracy Provide recommendations and support data-driven decision-making processes Ensure data integrity, security, and compliance with relevant regulations and policies Qualification : D3 or Bachelor's degree in business administration, marketing, or a related field Minimum 2-3 years experience in a sales support or administrative role Strong problem-solving and critical thinking skills with the ability to think strategically Excellent communication and presentation skills to effectively convey insights to both technical and non-technical stakeholders Proficiency in data analysis software such as Excel, SQL, Python Ability to work collaboratively in a team Apply now for this exciting opportunity!","data analyst staff jakarta lainnya sql, excel, python business administration, marketing data & technology job description : collect, organize and analyst data from various sources to identify trends, patterns, and insights develop and maintain data models, dashboards, and reports to present findings in a clear and concise manner collaborate with cross-functional teams to understand business requirements and translate them into data-driven solutions continuously evaluate and improve data processing and analysis methods to enhance efficiency and accuracy provide recommendations and support data-driven decision-making processes ensure data integrity, security, and compliance with relevant regulations and policies qualification : d3 or bachelor's degree in business administration, marketing, or a related field minimum 2-3 years experience in a sales support or administrative role strong problem-solving and critical thinking skills with the ability to think strategically excellent communication and presentation skills to effectively convey insights to both technical and non-technical stakeholders proficiency in data analysis software such as excel, sql, python ability to work collaboratively in a team apply now for this exciting opportunity!"
7,PT Sukanda Djaya,Bekasi,"SQL, Excel",Data & Technology,"Tanggung Jawab Utama : Mengumpulkan, memproses, dan menganalisis data dari berbagai sumber untuk mendukung inisiatif perusahaan Melakukan pencatatan dan monitoring stock harian terkait kebutuhan customer, item expired/near ED, serta item slow moving Menyampaikan informasi terkini mengenai status stock (barang masuk, putus, delay) kepada Supervisor/Sales sesuai arahan Mengidentifikasi tren, pola, dan wawasan yang relevan dari data yang ada Menyiapkan laporan, dashboard, dan presentasi untuk mengomunikasikan temuan dan rekomendasi kepada pemangku kepentingan Berkolaborasi dengan tim fungsional lainnya untuk memahami kebutuhan bisnis dan menerjemahkannya menjadi solusi data Membantu mengembangkan dan mengelola proyek-proyek analitik untuk meningkatkan efisiensi dan efektivitas operasional Mengembangkan dan mempertahankan sistem database dan penyimpanan data perusahaan Kualifikasi yang Dibutuhkan : Pendidikan min S1 dalam bidang Teknologi Informasi, Statistika, Matematika, atau disiplin ilmu terkait Minimal 2 tahun pengalaman kerja sebagai Data Analyst atau peran serupa Mahir dalam menggunakan alat analitik seperti SQL, Excel Kemampuan dalam pemodelan data, visualisasi, dan pelaporan Pemahaman yang baik tentang teknik statistik dan data mining Kemampuan komunikasi yang kuat, baik lisan maupun tulisan Keingintahuan yang tinggi, berorientasi pada pemecahan masalah, dan kemampuan berinovasi Bersedia untuk penempatan di Kawasan Industri MM2100, Cibitung","data analyst staff bekasi sql, excel information technology, mathematics, statistics data & technology tanggung jawab utama : mengumpulkan, memproses, dan menganalisis data dari berbagai sumber untuk mendukung inisiatif perusahaan melakukan pencatatan dan monitoring stock harian terkait kebutuhan customer, item expired/near ed, serta item slow moving menyampaikan informasi terkini mengenai status stock (barang masuk, putus, delay) kepada supervisor/sales sesuai arahan mengidentifikasi tren, pola, dan wawasan yang relevan dari data yang ada menyiapkan laporan, dashboard, dan presentasi untuk mengomunikasikan temuan dan rekomendasi kepada pemangku kepentingan berkolaborasi dengan tim fungsional lainnya untuk memahami kebutuhan bisnis dan menerjemahkannya menjadi solusi data membantu mengembangkan dan mengelola proyek-proyek analitik untuk meningkatkan efisiensi dan efektivitas operasional mengembangkan dan mempertahankan sistem database dan penyimpanan data perusahaan kualifikasi yang dibutuhkan : pendidikan min s1 dalam bidang teknologi informasi, statistika, matematika, atau disiplin ilmu terkait minimal 2 tahun pengalaman kerja sebagai data analyst atau peran serupa mahir dalam menggunakan alat analitik seperti sql, excel kemampuan dalam pemodelan data, visualisasi, dan pelaporan pemahaman yang baik tentang teknik statistik dan data mining kemampuan komunikasi yang kuat, baik lisan maupun tulisan keingintahuan yang tinggi, berorientasi pada pemecahan masalah, dan kemampuan berinovasi bersedia untuk penempatan di kawasan industri mm2100, cibitung"
8,PT ORIENTAMA MAKMUR ABADI,Jakarta Lainnya,"API, SQL, Tableau, Looker, Python, Power BI, Excel",Data & Technology,"As Data Analyst, you will directly report to Director Requirement : Bachelor Degree of IT / Computer science / Data science, or Certification of course completion in data analyst Age Range : 20 – 39 Must have skill : Expert in excel, Gsheet,  SQL, Tableau, Phyton, Scraping Website (including E-commerce marketplace) Able to work with Target & Deadlines. Location of work : Kemayoran - Central Jkt or Pakem - Kab Tangerang (depend on the Candidate location) Job Description : Data Collection & Management Gather data from multiple sources (databases, APIs, spreadsheets, surveys, etc.). Maintain and update databases or data systems. Ensure data accuracy, completeness, and consistency. Data Cleaning & Preparation Identify and correct errors or inconsistencies in data. Standardize, transform, and organize data for analysis. Handle missing or incomplete data appropriately. Data Analysis & Interpretation Use statistical techniques to identify trends, correlations, and patterns. Perform exploratory and predictive data analysis. Apply business logic to translate raw numbers into meaningful insights. Reporting & Visualization Develop dashboards and reports (e.g., in Power BI, Tableau, Excel, or Looker). Present findings to stakeholders in a clear, concise way. Create visualizations (charts, graphs, KPIs) to make data insights accessible. Punctually deliver report as required by users, including periodical reports (daily , weekly, quarterly & yearly report). Business Support & Decision-Making Collaborate with management to understand business needs Provide data-driven recommendations for process improvement, growth, cost reduction or other important matters. Support strategic planning and forecasting Collaboration & Communication Work with cross-functional teams (IT, marketing, finance, operations, etc.). Translate technical findings into actionable business language. Document processes, analysis methods, and key findings. Tool & Technology Use Query databases using SQL or similar languages. Work with Python, Gsheet, or Excel for data analysis. Leverage BI tools for reporting and visualization.","data analyst jakarta lainnya api, sql, tableau, looker, python, power bi, excel computer science, data science, management data & technology as data analyst, you will directly report to director requirement : bachelor degree of it / computer science / data science, or certification of course completion in data analyst age range : 20 – 39 must have skill : expert in excel, gsheet, sql, tableau, phyton, scraping website (including e-commerce marketplace) able to work with target & deadlines. location of work : kemayoran - central jkt or pakem - kab tangerang (depend on the candidate location) job description : data collection & management gather data from multiple sources (databases, apis, spreadsheets, surveys, etc.). maintain and update databases or data systems. ensure data accuracy, completeness, and consistency. data cleaning & preparation identify and correct errors or inconsistencies in data. standardize, transform, and organize data for analysis. handle missing or incomplete data appropriately. data analysis & interpretation use statistical techniques to identify trends, correlations, and patterns. perform exploratory and predictive data analysis. apply business logic to translate raw numbers into meaningful insights. reporting & visualization develop dashboards and reports (e.g., in power bi, tableau, excel, or looker). present findings to stakeholders in a clear, concise way. create visualizations (charts, graphs, kpis) to make data insights accessible. punctually deliver report as required by users, including periodical reports (daily , weekly, quarterly & yearly report). business support & decision-making collaborate with management to understand business needs provide data-driven recommendations for process improvement, growth, cost reduction or other important matters. support strategic planning and forecasting collaboration & communication work with cross-functional teams (it, marketing, finance, operations, etc.). translate technical findings into actionable business language. document processes, analysis methods, and key findings. tool & technology use query databases using sql or similar languages. work with python, gsheet, or excel for data analysis. leverage bi tools for reporting and visualization."
9,PT Yamaha Indonesia Motor Mfg,Jakarta Timur,"SQL, Adobe Analytics, Python, R, Power BI, Excel",Data & Technology,"Requirement : S1 Data Science / data analis, Statistika / Matematika Terapan, Ilmu Komunikasi, manajemen Pemasaran / Digital Marketing, Sistem Informasi, Teknik informatika/ Ilmu Komputer Memiliki pengalaman minimal 1 tahun di bidang Data Science Menguasai tools analytics seperti GA/Adobe Analytics, Meta Ads Manager, Search Console, Semrush, Metric Cools, etc) Menguasai data analytic tools SQL, Excel/Google sheet,Power BI, Python,R etc Memiliki kemampuan yang baik terkait project management, analytical thinking & communication skill Memiliki daya analisa yang kuat, berpikir logis & sistematis serta dapat mencari solusi Job Description: Mengumpulkan & menganalisa data dari berbagai kampanye digital untuk mengukur efektivitas & memberikan wawasan yang membantu pengambilan keputusan dalam pengembangan strategi pemasaran Memantau metrik utama dari saluran digital seperti media sosial, iklan online, dan email marketing, serta menyusun laporan kinerja yang menggambarkan hasil dan rekomendasi untuk optimasi lebih lanjut. Mengidentifikasi tren & pola dalam data untuk memberikan rekomendasi yang membantu tim pemasaran dalam merencanakan dan mengoptimalkan kampanye yang lebih efektif & efisien","marketing data analyst jakarta timur sql, adobe analytics, python, r, power bi, excel communication, computer science, data science, informatics engineering, information systems, information technology, management, mathematics, statistics data & technology requirement : s1 data science / data analis, statistika / matematika terapan, ilmu komunikasi, manajemen pemasaran / digital marketing, sistem informasi, teknik informatika/ ilmu komputer memiliki pengalaman minimal 1 tahun di bidang data science menguasai tools analytics seperti ga/adobe analytics, meta ads manager, search console, semrush, metric cools, etc) menguasai data analytic tools sql, excel/google sheet,power bi, python,r etc memiliki kemampuan yang baik terkait project management, analytical thinking & communication skill memiliki daya analisa yang kuat, berpikir logis & sistematis serta dapat mencari solusi job description: mengumpulkan & menganalisa data dari berbagai kampanye digital untuk mengukur efektivitas & memberikan wawasan yang membantu pengambilan keputusan dalam pengembangan strategi pemasaran memantau metrik utama dari saluran digital seperti media sosial, iklan online, dan email marketing, serta menyusun laporan kinerja yang menggambarkan hasil dan rekomendasi untuk optimasi lebih lanjut. mengidentifikasi tren & pola dalam data untuk memberikan rekomendasi yang membantu tim pemasaran dalam merencanakan dan mengoptimalkan kampanye yang lebih efektif & efisien"
